["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","TE",1,"port 1",1,"transmission")
1.8762521180952381e+014 4.8986323154088696e-001 2.5864139134756448e+000
1.8788013736904762e+014 5.0486283664378062e-001 3.1578337729262058e+000
1.8813506292857144e+014 5.1884468840606579e-001 3.7307567831263131e+000
1.8838998848809525e+014 5.3151057820729131e-001 4.3037246245062146e+000
1.8864491404761903e+014 5.4331313077474952e-001 4.8756605995116615e+000
1.8889983960714284e+014 5.5497199138928011e-001 5.4468633361665839e+000
1.8915476516666666e+014 5.6671966862842771e-001 6.0186531769866001e+000
1.8940969072619047e+014 5.7802020341027438e-001 6.5920350031545079e+000
1.8966461628571428e+014 5.8804551715254672e-001 7.1667009911938049e+000
1.8991954184523809e+014 5.9644533448245285e-001 7.7413070990163950e+000
1.9017446740476191e+014 6.0367108812186898e-001 8.3147037557412453e+000
1.9042939296428572e+014 6.1054281491951301e-001 8.8869710827435657e+000
1.9068431852380953e+014 6.1745919579068542e-001 9.4593049406121654e+000
1.9093924408333334e+014 6.2400520027476702e-001 1.0032852678935722e+001
1.9119416964285712e+014 6.2933991810194567e-001 1.0607620408191998e+001
1.9144909520238094e+014 6.3298777668897910e-001 1.1182480413397728e+001
1.9170402076190475e+014 6.3528074859262285e-001 1.1756221260231225e+001
1.9195894632142856e+014 6.3704115488985158e-001 1.2328656748925969e+001
1.9221387188095237e+014 6.3880076922304940e-001 1.2900777966887134e+001
1.9246879744047619e+014 6.4029559480984022e-001 1.3473789769644020e+001
1.9272372300000000e+014 6.4072465228671149e-001 1.4047946527901200e+001
1.9297864855952381e+014 6.3952183488925141e-001 1.4622300285896440e+001
1.9323357411904762e+014 6.3690445024282971e-001 1.5195571531256864e+001
1.9348849967857144e+014 6.3368687869138218e-001 1.5767327056123076e+001
1.9374342523809522e+014 6.3052766455572695e-001 1.6338373811417526e+001
1.9399835079761903e+014 6.2733075180927389e-001 1.6910009439065892e+001
1.9425327635714284e+014 6.2335898872405926e-001 1.7482784251528589e+001
1.9450820191666666e+014 6.1794719544714638e-001 1.8055956518001786e+001
1.9476312747619047e+014 6.1115010946938675e-001 1.8628173491788274e+001
1.9501805303571428e+014 6.0371224450910999e-001 1.9198705808276486e+001
1.9527297859523809e+014 5.9639610216248218e-001 1.9768127147198317e+001
1.9552790415476191e+014 5.8929492445313114e-001 2.0337781510659664e+001
1.9578282971428572e+014 5.8178138586831951e-001 2.0908503727749444e+001
1.9603775527380953e+014 5.7313474821576926e-001 2.1479815625504600e+001
1.9629268083333331e+014 5.6324113739300508e-001 2.2050352247341447e+001
1.9654760639285712e+014 5.5271624319756962e-001 2.2619108753463141e+001
